title.x,paper_id,title.y,id2,exact_match
downscaling hydroclimatic changes over the western us based on cam subgrid scheme and wrf regional climate simulations,436,downscaling hydroclimatic changes over the western us based on cam subgrid scheme and wrf regional climate simulations.,592,no
downscaling hydroclimatic changes over the western us based on cam subgrid scheme and wrf regional climate simulations.,592,downscaling hydroclimatic changes over the western us based on cam subgrid scheme and wrf regional climate simulations,436,no
early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states,374,early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states.,679,no
early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states.,679,early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states,374,no
effect of bedrock permeability on stream base flow mean transit time scaling relations: 1. a multiscale catchment intercomparison,455,effect of bedrock permeability on stream base flow mean transit time scaling relations: 1. a multiscale catchment intercomparison.,548,no
effect of bedrock permeability on stream base flow mean transit time scaling relations: 1. a multiscale catchment intercomparison.,548,effect of bedrock permeability on stream base flow mean transit time scaling relations: 1. a multiscale catchment intercomparison,455,no
"forest ecosystems, disturbance, and climatic change in washington state, usa",342,"forest ecosystems, disturbance, and climatic change in washington state, usa.",500,no
"forest ecosystems, disturbance, and climatic change in washington state, usa.",500,"forest ecosystems, disturbance, and climatic change in washington state, usa",342,no
hydroclimate of the western united states based on observations and regional climate simulation of 1981-2000. part ii: mesoscale enso anomalies,556,hydroclimate of the western united states based on observations and regional climate simulation of 1981-2000. part ii: mesoscale enso anomalies.,638,no
hydroclimate of the western united states based on observations and regional climate simulation of 1981-2000. part ii: mesoscale enso anomalies.,638,hydroclimate of the western united states based on observations and regional climate simulation of 1981-2000. part ii: mesoscale enso anomalies,556,no
"hydrologic modeling using elevationally adjusted narr and narccap regional climate-model simulations: tucannon river, washington",416,"hydrologic modeling using elevationally adjusted narr and narccap regional climate-model simulations: tucannon river, washington.",527,no
"hydrologic modeling using elevationally adjusted narr and narccap regional climate-model simulations: tucannon river, washington.",527,"hydrologic modeling using elevationally adjusted narr and narccap regional climate-model simulations: tucannon river, washington",416,no
"impact of climate change on north cascade alpine glaciers, and alpine runoff",807,"Impact of climate change on north cascade alpine glaciers, and alpine runoff",254,no
"impact of climate change on north cascade alpine glaciers, and alpine runoff",807,"impact of climate change on north cascade alpine glaciers, and alpine runoff.",588,no
"Impact of climate change on north cascade alpine glaciers, and alpine runoff",254,"impact of climate change on north cascade alpine glaciers, and alpine runoff",807,no
"impact of climate change on north cascade alpine glaciers, and alpine runoff.",588,"impact of climate change on north cascade alpine glaciers, and alpine runoff",807,no
impacts of projected climate changes on streamflow and sediment transport for three snowmelt-dominated rivers in the interior pacific northwest,778,impacts of projected climate changes on streamflow and sediment transport for three snowmelt-dominated rivers in the interior pacific northwest.,622,no
impacts of projected climate changes on streamflow and sediment transport for three snowmelt-dominated rivers in the interior pacific northwest.,622,impacts of projected climate changes on streamflow and sediment transport for three snowmelt-dominated rivers in the interior pacific northwest,778,no
influences of vegetation disturbance on hydrogeomorphic response following wildfire,454,influences of vegetation disturbance on hydrogeomorphic response following wildfire.,545,no
influences of vegetation disturbance on hydrogeomorphic response following wildfire.,545,influences of vegetation disturbance on hydrogeomorphic response following wildfire,454,no
"linkages between hydrological drought, climate indices and human activities: a case study in the columbia river basin",827,"linkages between hydrological drought, climate indices and human activities: a case study in the columbia river basin.",618,no
"linkages between hydrological drought, climate indices and human activities: a case study in the columbia river basin.",618,"linkages between hydrological drought, climate indices and human activities: a case study in the columbia river basin",827,no
mountain landscapes offer few opportunities for high-elevation tree species migration,317,mountain landscapes offer few opportunities for high-elevation tree species migration.,681,no
mountain landscapes offer few opportunities for high-elevation tree species migration.,681,mountain landscapes offer few opportunities for high-elevation tree species migration,317,no
pacific northwest regional assessment: the impacts of climate variability and climate change on the water resources of the columbia river basin.,569,pacific northwest regional assessment: the impacts of climate variability and climate change on the water resources of the columbia river basin1,796,no
